                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.62301,                0.54012,                 0.9807,                0.65979,                0.73299,                0.67994,                0.55172,                0.72192,                 0.9273,                 1.0169,              0.0014426,              0.0014426,              0.0014426
                     70,                0.64837,                0.55723,                0.98992,                0.60637,                0.71599,                0.70741,                0.55793,                0.75094,                  1.099,                 1.0514,              0.0014393,              0.0014393,              0.0014393
                     71,                0.63008,                0.56507,                0.97405,                0.57941,                0.65306,                0.61497,                0.48972,                0.77042,                 1.1374,                  1.055,               0.001436,               0.001436,               0.001436
                     72,                0.62349,                0.54434,                0.97044,                0.53919,                0.63605,                0.57036,                0.45034,                0.72901,                0.98565,                 1.0282,              0.0014327,              0.0014327,              0.0014327
                     73,                0.63564,                0.54738,                0.98684,                0.57586,                0.60204,                0.55894,                0.43901,                0.68575,                 1.0219,                 1.0111,              0.0014294,              0.0014294,              0.0014294
                     74,                0.61395,                0.55604,                0.97881,                0.51387,                0.77551,                0.61111,                0.48935,                0.65968,                 1.0491,                0.99617,              0.0014261,              0.0014261,              0.0014261
                     75,                0.59435,                0.51365,                0.97223,                0.61472,                0.69754,                0.67501,                0.54712,                0.69754,                0.99544,                 1.0372,              0.0014228,              0.0014228,              0.0014228
                     76,                0.68322,                0.55305,                 1.0488,                0.65788,                0.67861,                0.65413,                 0.5297,                 0.6938,                0.98234,                 1.0306,              0.0014195,              0.0014195,              0.0014195
                     77,                0.66336,                0.56006,                0.99398,                0.64412,                 0.7585,                 0.6702,                0.54234,                0.68547,                0.85443,                 1.0412,              0.0014161,              0.0014161,              0.0014161
                     78,                0.63369,                0.54256,                0.98062,                0.50343,                0.66366,                0.58665,                 0.4893,                0.70241,                0.85695,                 1.0574,              0.0014128,              0.0014128,              0.0014128
                     79,                  0.596,                 0.5193,                0.98292,                0.44693,                0.57993,                0.51008,                 0.4255,                0.66005,                0.95482,                 1.0289,              0.0014095,              0.0014095,              0.0014095
                     80,                0.61651,                0.53701,                 1.0068,                0.48661,                0.53138,                0.47291,                0.38686,                 0.6856,                 1.0438,                 1.0337,              0.0014062,              0.0014062,              0.0014062
                     81,                0.62966,                0.53037,                0.97819,                0.84717,                0.52211,                0.50515,                0.41217,                0.71271,                 1.0981,                 1.0433,              0.0014029,              0.0014029,              0.0014029
                     82,                0.62392,                0.53098,                0.99988,                0.82465,                0.51029,                 0.5337,                0.42333,                0.73492,                 1.0315,                 1.0455,              0.0013996,              0.0013996,              0.0013996
                     83,                0.59749,                0.52609,                0.96773,                0.83607,                0.48993,                0.58021,                0.45666,                0.77473,                0.93833,                 1.0547,              0.0013963,              0.0013963,              0.0013963
                     84,                0.56744,                0.50552,                0.96012,                0.64401,                0.51531,                0.51166,                0.42414,                0.63312,                 1.0611,                 1.0008,               0.001393,               0.001393,               0.001393
                     85,                0.64825,                0.58023,                 1.0151,                0.48117,                0.54592,                0.51386,                0.41748,                0.69094,                 1.0283,                 1.0305,              0.0013897,              0.0013897,              0.0013897
                     86,                0.59175,                0.51909,                0.97367,                0.51916,                0.52491,                0.53068,                0.43197,                0.68635,                  1.012,                 1.0405,              0.0013864,              0.0013864,              0.0013864
                     87,                0.58458,                0.52601,                0.96547,                0.88396,                 0.4558,                0.47284,                0.38871,                 0.7151,                 1.1202,                 1.0462,              0.0013831,              0.0013831,              0.0013831
                     88,                0.64042,                0.57953,                 1.0046,                0.73178,                 0.4881,                0.48037,                0.37873,                0.83485,                  1.041,                 1.1215,              0.0013798,              0.0013798,              0.0013798
                     89,                0.64867,                0.57808,                0.98547,                0.48556,                0.54932,                0.48719,                0.38678,                0.75383,                 1.0706,                 1.0887,              0.0013765,              0.0013765,              0.0013765
                     90,                0.62999,                0.56765,                0.98739,                0.51024,                0.55272,                0.52494,                0.41345,                0.72581,                 1.0883,                 1.0722,              0.0013732,              0.0013732,              0.0013732
                     91,                0.59864,                0.53448,                 0.9748,                0.43691,                0.65986,                0.54432,                0.43822,                0.64701,                0.99811,                0.99722,              0.0013699,              0.0013699,              0.0013699
                     92,                0.62732,                0.54452,                0.99773,                0.40672,                0.51701,                0.49061,                 0.4073,                0.65563,                 1.0031,                0.98385,              0.0013666,              0.0013666,              0.0013666
                     93,                0.59841,                0.54408,                0.99377,                0.39926,                0.55641,                0.49964,                0.41196,                0.64456,                0.99423,                0.98713,              0.0013633,              0.0013633,              0.0013633
                     94,                0.62189,                0.52031,                 1.0032,                0.39956,                 0.5243,                0.50332,                0.42169,                0.65393,                 1.0002,                 1.0026,                0.00136,                0.00136,                0.00136
                     95,                0.57246,                0.49362,                0.95636,                0.43677,                0.61468,                0.53232,                0.44029,                0.68262,                0.99216,                 1.0241,              0.0013567,              0.0013567,              0.0013567
                     96,                0.60495,                 0.5442,                0.98392,                0.46119,                0.57993,                0.50556,                0.40403,                0.73513,                 1.0432,                 1.0392,              0.0013534,              0.0013534,              0.0013534
                     97,                0.61934,                0.53218,                0.98624,                0.44252,                0.53571,                0.49796,                0.40776,                0.77482,                 1.0573,                   1.05,              0.0013501,              0.0013501,              0.0013501
                     98,                0.61828,                0.51357,                0.98229,                0.55824,                0.60577,                0.55232,                0.43448,                0.77458,                 1.0235,                 1.0486,              0.0013468,              0.0013468,              0.0013468
                     99,                0.60415,                0.52265,                0.97014,                0.58738,                0.61055,                0.58985,                0.45402,                0.81557,                 1.0875,                 1.0947,              0.0013435,              0.0013435,              0.0013435
                    100,                0.57796,                0.48181,                0.96096,                0.54256,                0.77277,                0.60942,                 0.4764,                0.79682,                 1.1628,                 1.0991,              0.0013402,              0.0013402,              0.0013402
                    101,                0.59969,                 0.5042,                0.97812,                0.60728,                0.69388,                0.64955,                0.51472,                0.73693,                 1.0145,                 1.0462,              0.0013369,              0.0013369,              0.0013369
                    102,                0.61357,                0.54003,                0.99904,                0.58898,                0.69092,                0.65313,                 0.4842,                 0.7488,                0.91914,                  1.062,              0.0013336,              0.0013336,              0.0013336
                    103,                0.57141,                0.50093,                0.96224,                0.68333,                0.59184,                0.63544,                0.48713,                0.70101,                0.87435,                 1.0742,              0.0013303,              0.0013303,              0.0013303
                    104,                0.60735,                0.52603,                0.99144,                0.60121,                0.61224,                0.56659,                0.45381,                0.65465,                0.98618,                 1.0298,               0.001327,               0.001327,               0.001327
                    105,                0.57055,                0.49578,                0.97219,                0.54136,                0.61343,                0.53197,                0.43397,                0.66248,                 1.0248,                 1.0334,              0.0013237,              0.0013237,              0.0013237
                    106,                0.60936,                0.52863,                0.96866,                0.45541,                0.62366,                 0.5054,                0.42489,                 0.6423,                 1.0103,                 1.0121,              0.0013204,              0.0013204,              0.0013204
                    107,                0.55876,                0.47607,                0.96779,                0.47251,                0.63095,                0.50542,                0.41487,                 0.6387,                  1.052,                 1.0043,              0.0013171,              0.0013171,              0.0013171
                    108,                0.59307,                0.49211,                0.96717,                0.40199,                0.54832,                0.47005,                 0.3968,                0.62106,                  1.165,                 0.9991,              0.0013138,              0.0013138,              0.0013138
                    109,                0.57112,                0.48958,                0.97544,                0.91123,                0.44388,                0.44491,                0.37192,                0.66819,                 1.2379,                 1.0113,              0.0013105,              0.0013105,              0.0013105
                    110,                 0.5706,                0.48873,                0.98245,                0.89933,                0.44523,                0.43809,                0.36554,                0.67932,                 1.2207,                 1.0319,              0.0013072,              0.0013072,              0.0013072
                    111,                0.59823,                0.48318,                0.96939,                0.39975,                0.44898,                0.46714,                0.38385,                0.66497,                 1.1924,                  1.026,              0.0013039,              0.0013039,              0.0013039
                    112,                0.57522,                0.49013,                  0.985,                 0.8895,                0.46939,                0.47247,                0.38875,                0.65381,                 1.1613,                 1.0356,              0.0013006,              0.0013006,              0.0013006
                    113,                0.52718,                0.45683,                0.95283,                0.39065,                0.47392,                0.46266,                0.37168,                 0.6879,                 1.2597,                 1.0498,              0.0012973,              0.0012973,              0.0012973
                    114,                   0.51,                0.44593,                 0.9322,                0.44039,                0.50576,                 0.4628,                0.37516,                0.69713,                 1.2664,                  1.058,               0.001294,               0.001294,               0.001294
                    115,                0.55878,                0.47613,                0.97061,                0.39209,                0.47789,                 0.4633,                0.37667,                0.71672,                 1.2724,                 1.0598,              0.0012907,              0.0012907,              0.0012907
                    116,                0.59529,                0.50195,                0.98778,                0.51916,                0.52041,                0.47122,                0.38523,                 0.7258,                 1.2739,                 1.0383,              0.0012874,              0.0012874,              0.0012874
                    117,                0.56977,                0.47506,                0.95543,                0.55615,                0.54006,                0.50065,                0.41491,                0.67106,                 1.2106,                 1.0041,              0.0012841,              0.0012841,              0.0012841
                    118,                  0.556,                0.45752,                0.96273,                0.85946,                0.53061,                0.54744,                0.45268,                0.64931,                 1.0801,                 1.0156,              0.0012808,              0.0012808,              0.0012808
                    119,                0.60044,                0.47217,                0.99039,                0.70412,                0.51989,                0.56472,                0.47287,                0.69877,                  1.054,                 1.0285,              0.0012775,              0.0012775,              0.0012775
                    120,                0.50534,                0.44932,                0.93701,                 0.6895,                0.54232,                0.55158,                0.46431,                0.69637,                 1.1033,                 1.0357,              0.0012742,              0.0012742,              0.0012742
