               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.040021,            0.057222,            0.010206,             0.39353,             0.87925,             0.58438,              0.4021,            0.036278,            0.022561,            0.013736,           0.0089803,           0.0089803,           0.0089803
                 105,            0.042667,            0.059072,            0.012364,             0.40973,             0.90306,             0.60543,             0.38487,            0.038274,            0.023849,            0.013857,           0.0089704,           0.0089704,           0.0089704
                 106,            0.039416,            0.056345,            0.011922,             0.41636,             0.92687,              0.5784,              0.3742,            0.038409,            0.023467,            0.013676,           0.0089605,           0.0089605,           0.0089605
                 107,             0.04254,            0.056671,            0.010653,             0.42213,             0.89796,             0.60526,             0.43061,            0.036496,            0.022699,            0.014073,           0.0089506,           0.0089506,           0.0089506
                 108,            0.041259,            0.055527,            0.011701,             0.42087,             0.89286,             0.57464,             0.41128,            0.035448,            0.023638,            0.014012,           0.0089407,           0.0089407,           0.0089407
                 109,            0.036764,            0.054062,           0.0098024,             0.44605,             0.82483,             0.54033,             0.36796,            0.037238,            0.027912,            0.014109,           0.0089308,           0.0089308,           0.0089308
                 110,            0.038529,            0.058087,           0.0097737,             0.44634,             0.95068,             0.57717,             0.39892,            0.038622,             0.02451,            0.013575,           0.0089209,           0.0089209,           0.0089209
                 111,            0.036739,            0.065139,            0.011542,             0.42152,             0.96088,              0.5931,             0.38432,             0.03885,            0.023553,             0.01352,            0.008911,            0.008911,            0.008911
                 112,            0.036049,            0.053408,            0.010352,             0.42356,             0.93197,             0.63399,             0.42286,            0.040111,            0.023393,            0.013745,           0.0089011,           0.0089011,           0.0089011
                 113,            0.039279,            0.063096,           0.0099209,             0.40892,             0.94218,             0.59272,             0.41962,            0.037076,            0.022254,            0.013086,           0.0088912,           0.0088912,           0.0088912
                 114,            0.038721,            0.058267,            0.010395,             0.42486,             0.97449,             0.59785,             0.37738,            0.041607,            0.023166,            0.013556,           0.0088813,           0.0088813,           0.0088813
                 115,            0.036933,            0.055015,           0.0075563,             0.40404,             0.97449,             0.57656,              0.4064,            0.040715,            0.021987,            0.013399,           0.0088714,           0.0088714,           0.0088714
