    39/999     12.1G   0.05383    0.0128  0.007549   0.07418        60       640    0.2255    0.8231    0.4381    0.1885   0.07076  0.008339  0.009226
    40/999     12.1G   0.05097   0.01206  0.007082   0.07011        57       640    0.2424    0.7517    0.4414    0.2132   0.06948   0.00791  0.008989
    41/999     12.1G   0.04531   0.01184  0.007274   0.06442        34       640    0.8999    0.4282    0.4963    0.3363   0.06788  0.007997  0.009249
    42/999     12.1G   0.04652   0.01299  0.007883    0.0674        60       640    0.8878    0.4234    0.4927     0.283   0.06872  0.008374  0.009621
    43/999     12.1G   0.04419   0.01293  0.006947   0.06407        46       640    0.8962    0.3929    0.5004    0.2276   0.07552  0.007947  0.009251
    44/999     12.1G   0.05536   0.01211  0.007598   0.07507        31       640    0.3076     0.818    0.5311    0.2945   0.07394  0.008363  0.009061
    45/999     12.1G   0.05007   0.01122  0.007529   0.06883        62       640    0.3369    0.8078    0.5409    0.3116    0.0715    0.0082  0.009219
    46/999     12.1G   0.04346    0.0118  0.007812   0.06307        43       640    0.3299    0.7568    0.5309    0.3149   0.07109  0.008239  0.009266
    47/999     12.1G   0.05134   0.01179  0.007093   0.07022        43       640    0.2737     0.852    0.4702     0.255   0.07171  0.008013   0.00908
    48/999     12.1G   0.04376   0.01222  0.006514    0.0625        34       640    0.2897    0.8282     0.524     0.304   0.07172  0.007675    0.0089
    49/999     12.1G   0.04755   0.01295  0.007973   0.06847        60       640    0.3301    0.9711    0.5262    0.3267   0.06504  0.007672   0.00866
    50/999     12.1G   0.04308   0.01304  0.008402   0.06452        45       640     0.273    0.9235    0.5115    0.3075    0.0631  0.007359  0.008554
    51/999     12.1G   0.04159   0.01303  0.007199   0.06181        51       640    0.3489    0.9235    0.5277    0.3625    0.0609  0.007261  0.008455
    52/999     12.1G   0.04159   0.01199  0.007018   0.06059        50       640    0.3295    0.8997    0.5143    0.3562    0.0551  0.007252  0.008575
    53/999     12.1G   0.04654   0.01245  0.007485   0.06648        48       640    0.3682    0.8997    0.5118    0.3992   0.05101  0.007224  0.008751
    54/999     12.1G   0.03955   0.01127  0.006911   0.05773        53       640    0.3402    0.9711    0.5393    0.3159   0.05798  0.007483  0.008685
    55/999     12.1G   0.04341   0.01125  0.008268   0.06293        37       640    0.3241    0.7806    0.5174    0.3409   0.05423  0.007698  0.008489
    56/999     12.1G   0.04453   0.01167  0.007679   0.06388        42       640    0.8458    0.4692    0.4885    0.3297   0.06052  0.007231  0.008711
    57/999     12.1G     0.045   0.01139  0.006665   0.06306        53       640    0.3383    0.6825    0.5798    0.3376   0.05883  0.007605  0.008717
    58/999     12.1G   0.04465   0.01216  0.007899   0.06471        68       640    0.8915     0.398    0.5198    0.3666   0.05764  0.008763   0.00878
    59/999     12.1G   0.05208   0.01318  0.007497   0.07276        75       640    0.8873    0.3878    0.4502    0.2464    0.0686  0.009511  0.008425
    60/999     12.1G    0.0369   0.01215  0.008126   0.05718        47       640    0.8948    0.4286    0.4966    0.3178   0.06451  0.008516  0.008621
    61/999     12.1G   0.04351   0.01105  0.006194   0.06076        47       640    0.3089    0.8946    0.5349    0.3751   0.06405  0.007433  0.008521
    62/999     12.1G   0.04132   0.01155  0.006305   0.05918        46       640    0.8592    0.3673    0.4719    0.3127   0.06374   0.01327  0.008631
    63/999     12.1G   0.04648   0.01285  0.006386   0.06572        30       640    0.8276     0.398    0.4048    0.1533   0.07594   0.01168  0.008748
    64/999     12.1G   0.05416   0.01236   0.00694   0.07346        62       640    0.2608    0.7517    0.4292    0.2139   0.06781    0.0102  0.008552
    65/999     12.1G   0.04538   0.01344   0.00702   0.06584        55       640    0.9091    0.3929    0.4712    0.2928    0.0611  0.009618  0.008419
    66/999     12.1G   0.04972   0.01349  0.007731   0.07094        61       640    0.8504     0.454    0.5092    0.3055   0.05496  0.008859  0.008539
    67/999     12.1G   0.04702   0.01406  0.007799   0.06888        51       640    0.8782    0.4286    0.5461    0.3075   0.05321  0.008919  0.008709
    68/999     12.1G   0.04778   0.01326  0.007228   0.06826        60       640    0.8699     0.464    0.5436     0.278   0.05505   0.00921  0.008807
    69/999     12.1G   0.04783   0.01256  0.006671   0.06707        36       640    0.8705    0.4388     0.487    0.3217   0.06946  0.009055   0.00874
    70/999     12.1G    0.0379     0.013  0.007366   0.05826        62       640    0.8496    0.4745    0.4889    0.3225    0.0655   0.00882  0.008756
    71/999     12.1G   0.04488   0.01211  0.008423   0.06541        52       640    0.8468    0.4745    0.4886    0.2596   0.06648  0.009151  0.008814
    72/999     12.1G   0.04242   0.01436  0.007081   0.06386        48       640    0.8947    0.4587     0.549    0.3777   0.06304  0.008913  0.009016
    73/999     12.1G   0.04025   0.01336  0.007662   0.06128        61       640     0.877    0.4691    0.5216     0.325    0.0639  0.008663    0.0091
    74/999     12.1G    0.0459   0.01144  0.007244   0.06458        47       640     0.871    0.4694    0.5139    0.2781   0.06533  0.008997  0.009114
    75/999     12.1G   0.04116   0.01212  0.006634   0.05992        56       640    0.3217    0.8265    0.5588     0.285   0.07076  0.008967  0.009256
    76/999     12.1G   0.04263   0.01255  0.007311   0.06249        65       640    0.3378    0.7301    0.5655    0.3711   0.06604  0.008393  0.009439
    77/999     12.1G   0.04534   0.01088  0.007538   0.06376        39       640    0.3402    0.7995    0.5725    0.3669   0.06518  0.008534  0.009098
    78/999     12.1G   0.03984   0.01269  0.007024   0.05955        51       640    0.3765    0.7517    0.5661    0.3795   0.06421  0.008163  0.009045
    79/999     12.1G   0.04117   0.01227  0.007463   0.06091        52       640    0.3988    0.7364    0.5438    0.3434   0.06707  0.008693  0.009184
    80/999     12.1G    0.0427   0.01129  0.007701   0.06169        32       640    0.4344    0.7561    0.5571    0.3383    0.0686  0.008726  0.009073
    81/999     12.1G    0.0332   0.01159  0.005249   0.05005        43       640    0.4707    0.6939    0.5575    0.3259   0.06697  0.008041  0.008956
    82/999     12.1G   0.03864   0.01172  0.006062   0.05642        48       640    0.4581    0.6344     0.535     0.393   0.06396  0.007466   0.00924
    83/999     12.1G   0.04057   0.01133  0.006447   0.05835        42       640    0.4077    0.6701    0.5224    0.3038   0.07243  0.007475  0.009393
    84/999     12.1G   0.04004   0.01136  0.007566   0.05896        45       640    0.3191    0.8997    0.5194    0.3655   0.06657  0.007114  0.009697
    85/999     12.1G   0.03854   0.01144  0.006371   0.05635        34       640    0.8825    0.4847    0.5177    0.3946   0.06301  0.007349  0.009449
    86/999     12.1G   0.03917   0.01259  0.008136    0.0599        48       640    0.8898    0.4694    0.5233    0.3456   0.06676  0.007478  0.009234
    87/999     12.1G   0.04164   0.01025  0.007896   0.05979        29       640    0.3598    0.8997    0.5354    0.3554   0.06791  0.007911  0.009053
    88/999     12.1G   0.03865   0.01385  0.006846   0.05934        77       640    0.3807    0.8452    0.5042    0.3531    0.0692   0.00773   0.01096
    89/999     12.1G   0.04401    0.0124  0.007084   0.06349        35       640    0.3938    0.8569    0.4903    0.3081   0.07303   0.00906  0.009417
    90/999     12.1G     0.042   0.01164  0.007786   0.06142        50       640    0.3863    0.8248    0.5014    0.3537    0.0702   0.00887  0.009525
    91/999     12.1G   0.03981   0.01389  0.007623   0.06132        62       640    0.3585     0.818    0.5179    0.3554    0.0674  0.007633  0.009611
    92/999     12.1G   0.04256   0.01231  0.006435    0.0613        45       640    0.3848    0.7415    0.5314    0.3614   0.06836  0.008044  0.009729
    93/999     12.1G   0.03839   0.01185  0.006172   0.05641        30       640     0.338    0.7177    0.5197     0.348   0.07079  0.008225  0.009637
    94/999     12.1G   0.04524    0.0123  0.008963   0.06651        37       640    0.3501    0.7228    0.5173      0.31   0.07036   0.00887  0.009029
    95/999     12.1G   0.03873   0.01191  0.006077   0.05671        80       640    0.3303    0.7177    0.5386    0.3831   0.06679  0.008893  0.009132
    96/999     12.1G   0.04352   0.01227  0.007768   0.06356        40       640    0.4753    0.6318    0.5849    0.3697   0.06804  0.008259  0.009087
    97/999     12.1G   0.03923   0.01267  0.006058   0.05796        64       640    0.3194    0.6803     0.568       0.4   0.06812  0.008285  0.009212
    98/999     12.1G   0.04122   0.01279  0.007357   0.06137        69       640    0.3585    0.6616    0.5611     0.364   0.06929  0.008222  0.009135
    99/999     12.1G   0.03906   0.01155  0.006855   0.05747        34       640    0.3216    0.8044    0.5577     0.391   0.06821   0.00824   0.00891
   100/999     12.1G   0.03508   0.01102  0.007647   0.05375        54       640    0.8877    0.4592    0.5283    0.3819   0.06755  0.007871  0.008652
   101/999     12.1G   0.03205   0.01189  0.007297   0.05124        63       640    0.3399    0.8282    0.5456     0.385   0.06732  0.007661  0.008653
   102/999     12.1G   0.03522   0.01136  0.005087   0.05166        46       640    0.4169    0.8027    0.5625    0.3343   0.06831  0.007767   0.00867
   103/999     12.1G   0.03645   0.01265  0.008059   0.05716        66       640    0.3828    0.8367    0.5367    0.3786    0.0641  0.007727    0.0088
   104/999     12.1G   0.03556   0.01133  0.007514    0.0544        53       640     0.377    0.8418    0.5349    0.2854   0.06752  0.007609  0.008771
   105/999     12.1G   0.03745    0.0109   0.00549   0.05384        42       640    0.4216    0.7041    0.5359    0.3232   0.06495  0.007372  0.008566
   106/999     12.1G   0.04102   0.01129  0.007273   0.05958        31       640    0.3995    0.7755    0.5551    0.3812   0.06085  0.007195  0.008493
   107/999     12.1G   0.03916    0.0102  0.007888   0.05724        36       640    0.4174    0.7704    0.5792    0.4071    0.0503  0.007269  0.008703
   108/999     12.1G   0.04048   0.01216  0.008428   0.06107        57       640    0.3973    0.7517    0.5789    0.4105   0.05468  0.007211   0.00925
   109/999     12.1G   0.03987   0.01181  0.006158   0.05784        37       640    0.4816    0.6766    0.6332     0.428   0.05394  0.007651  0.009558
   110/999     12.1G   0.03738    0.0114  0.006176   0.05495        42       640    0.4237    0.6463    0.6111    0.4286   0.05246  0.007864  0.009667
