               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.042961,             0.06446,            0.011615,             0.43703,             0.95578,             0.60929,             0.39109,            0.035347,            0.023605,             0.01289,           0.0094753,           0.0094753,           0.0094753
                  55,            0.041785,            0.056289,            0.013847,             0.43023,             0.95083,              0.5983,             0.33023,            0.037922,            0.024567,            0.013208,           0.0094654,           0.0094654,           0.0094654
                  56,            0.040887,            0.061122,            0.012317,              0.4214,             0.97959,             0.63725,              0.3428,            0.037628,            0.024229,             0.01327,           0.0094555,           0.0094555,           0.0094555
                  57,            0.041127,            0.056359,            0.012079,             0.43257,             0.95068,             0.64417,             0.37873,            0.039071,            0.024901,             0.01319,           0.0094456,           0.0094456,           0.0094456
                  58,             0.04314,            0.061866,            0.011373,             0.40381,             0.92177,             0.64063,              0.3252,            0.041696,            0.024502,            0.012936,           0.0094357,           0.0094357,           0.0094357
                  59,            0.039848,            0.060673,            0.010477,             0.39911,             0.89796,             0.63141,              0.3299,            0.043049,            0.024125,            0.012933,           0.0094258,           0.0094258,           0.0094258
                  60,            0.042648,             0.06625,            0.010962,             0.42182,             0.92687,             0.62268,             0.38046,            0.039212,            0.021814,            0.013059,           0.0094159,           0.0094159,           0.0094159
                  61,            0.042331,            0.060997,            0.011259,             0.43448,             0.87379,             0.59401,             0.36458,            0.038612,            0.022589,            0.013328,            0.009406,            0.009406,            0.009406
                  62,            0.038534,            0.053698,            0.015409,             0.43549,             0.87245,             0.57948,             0.34132,            0.041619,            0.023828,            0.013524,           0.0093961,           0.0093961,           0.0093961
                  63,            0.042161,            0.060446,            0.010552,             0.43292,             0.89612,             0.57191,             0.38239,            0.037713,            0.022402,            0.013547,           0.0093862,           0.0093862,           0.0093862
                  64,            0.039661,            0.053369,           0.0097006,              0.4276,             0.89286,             0.56191,             0.34589,            0.038775,            0.023115,            0.014101,           0.0093763,           0.0093763,           0.0093763
                  65,            0.042367,            0.059292,           0.0086791,             0.41793,             0.95068,             0.57668,             0.36068,            0.039823,            0.024163,            0.014509,           0.0093664,           0.0093664,           0.0093664
                  66,            0.041428,            0.061507,            0.011242,             0.42897,             0.97959,             0.58605,             0.39359,            0.038942,            0.023238,            0.014318,           0.0093565,           0.0093565,           0.0093565
                  67,             0.04235,            0.056699,             0.01304,             0.44021,             0.97959,             0.61378,              0.4135,            0.035543,            0.021709,            0.014375,           0.0093466,           0.0093466,           0.0093466
                  68,            0.038207,            0.056406,            0.010096,             0.44417,             0.97959,                0.61,             0.40043,            0.037992,            0.023037,            0.013872,           0.0093367,           0.0093367,           0.0093367
                  69,            0.044467,            0.064791,             0.01228,             0.45902,             0.98469,             0.62011,             0.42175,            0.036852,            0.021956,            0.013218,           0.0093268,           0.0093268,           0.0093268
                  70,            0.042411,            0.057574,            0.012992,             0.44694,             0.98469,             0.59956,             0.37863,            0.037553,            0.021611,            0.012718,           0.0093169,           0.0093169,           0.0093169
                  71,            0.043708,            0.056662,            0.011054,             0.43346,             0.97959,             0.62464,             0.40621,            0.037985,            0.022809,            0.012464,            0.009307,            0.009307,            0.009307
                  72,            0.038555,            0.062524,            0.010327,             0.42269,             0.96088,             0.60789,             0.38413,            0.037566,            0.024511,            0.012381,           0.0092971,           0.0092971,           0.0092971
                  73,            0.040016,            0.060779,            0.010665,             0.46489,             0.96088,             0.60474,             0.40225,            0.036706,            0.026803,             0.01224,           0.0092872,           0.0092872,           0.0092872
                  74,            0.038652,             0.05714,            0.010339,             0.47802,             0.93549,             0.61197,             0.36364,            0.041097,            0.023158,            0.012135,           0.0092773,           0.0092773,           0.0092773
                  75,            0.041746,            0.057481,            0.010338,             0.50084,             0.92687,             0.62486,             0.37591,            0.039876,            0.022884,            0.012163,           0.0092674,           0.0092674,           0.0092674
                  76,            0.042167,            0.063035,            0.015482,             0.42973,              0.9898,             0.61674,              0.4197,            0.036868,            0.020908,            0.012316,           0.0092575,           0.0092575,           0.0092575
                  77,             0.03951,            0.057234,            0.010024,             0.47218,             0.93537,             0.61597,             0.39599,            0.036744,            0.024501,            0.012252,           0.0092476,           0.0092476,           0.0092476
                  78,            0.037629,            0.055451,            0.011942,             0.44393,             0.84411,              0.5833,             0.36726,            0.039041,            0.026764,            0.012303,           0.0092377,           0.0092377,           0.0092377
                  79,            0.039668,            0.055745,            0.012736,             0.47152,             0.86395,             0.59502,             0.39253,            0.039208,            0.024962,            0.012197,           0.0092278,           0.0092278,           0.0092278
                  80,            0.040333,            0.056778,           0.0089877,             0.49889,             0.95068,             0.61563,             0.35645,            0.039575,             0.02243,             0.01244,           0.0092179,           0.0092179,           0.0092179
                  81,            0.039812,            0.062131,            0.011006,             0.48176,             0.89829,             0.62363,             0.39492,            0.037735,            0.023248,            0.012135,            0.009208,            0.009208,            0.009208
                  82,            0.036228,            0.058432,            0.012431,             0.49965,             0.89796,              0.6221,             0.42653,             0.03776,            0.022822,            0.012349,           0.0091981,           0.0091981,           0.0091981
                  83,            0.044718,            0.056711,             0.01113,             0.45051,             0.93707,             0.60039,             0.35197,            0.040026,            0.022278,            0.012678,           0.0091882,           0.0091882,           0.0091882
                  84,            0.041646,            0.055648,            0.010127,              0.4826,             0.93027,             0.57756,             0.37634,            0.036452,            0.022499,            0.013012,           0.0091783,           0.0091783,           0.0091783
                  85,            0.041343,             0.05832,            0.013247,             0.48578,             0.88177,             0.54701,             0.37542,            0.036234,             0.02467,            0.013255,           0.0091684,           0.0091684,           0.0091684
                  86,            0.038175,            0.068377,           0.0091368,             0.48777,             0.93537,             0.56885,              0.3896,            0.035666,            0.022784,            0.013483,           0.0091585,           0.0091585,           0.0091585
                  87,            0.035592,            0.052132,             0.01032,             0.51293,             0.89599,             0.57374,             0.39407,            0.037208,            0.024774,            0.013497,           0.0091486,           0.0091486,           0.0091486
                  88,            0.040647,            0.056001,            0.011343,              0.5091,             0.90994,             0.59229,             0.35545,            0.041219,            0.024461,            0.013441,           0.0091387,           0.0091387,           0.0091387
