               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.045828,            0.059513,            0.013749,             0.36961,             0.96599,             0.60343,             0.38683,            0.038806,             0.02244,            0.013344,           0.0095446,           0.0095446,           0.0095446
                  48,            0.047765,            0.064165,           0.0092794,             0.39225,             0.96302,             0.63763,             0.35784,            0.038781,            0.022725,            0.013406,           0.0095347,           0.0095347,           0.0095347
                  49,            0.047263,             0.06482,            0.012824,             0.39821,             0.98469,             0.61582,             0.42282,            0.034738,            0.021605,            0.013282,           0.0095248,           0.0095248,           0.0095248
                  50,            0.043726,            0.058099,            0.010372,              0.3716,              0.9898,              0.6432,              0.4132,            0.034965,            0.021996,             0.01372,           0.0095149,           0.0095149,           0.0095149
                  51,            0.045946,            0.064821,            0.010141,             0.38217,             0.97109,             0.65237,             0.42438,            0.035184,            0.024118,            0.013655,            0.009505,            0.009505,            0.009505
                  52,            0.040701,            0.070173,            0.012707,             0.40998,             0.91837,             0.67253,             0.45094,            0.033297,            0.021995,            0.013472,           0.0094951,           0.0094951,           0.0094951
                  53,            0.045857,            0.065889,            0.010478,             0.46068,             0.93439,             0.69183,             0.46604,            0.035684,            0.023081,            0.013422,           0.0094852,           0.0094852,           0.0094852
                  54,            0.042373,            0.065046,            0.013342,             0.45084,             0.94218,             0.69283,             0.46683,            0.035133,            0.021768,            0.013449,           0.0094753,           0.0094753,           0.0094753
                  55,            0.041338,            0.064148,           0.0097568,             0.47079,             0.95068,             0.63974,             0.39829,            0.037803,            0.022423,            0.013867,           0.0094654,           0.0094654,           0.0094654
                  56,            0.043184,            0.060827,            0.010126,             0.49667,             0.95578,             0.65716,             0.40805,            0.036445,             0.02246,            0.013604,           0.0094555,           0.0094555,           0.0094555
                  57,            0.040256,            0.054805,            0.010728,             0.44864,             0.97031,             0.62317,              0.4037,            0.036671,            0.024129,            0.013065,           0.0094456,           0.0094456,           0.0094456
                  58,            0.042643,            0.061033,            0.010912,               0.465,             0.95578,             0.67608,             0.43991,            0.037149,            0.022861,            0.012812,           0.0094357,           0.0094357,           0.0094357
                  59,            0.044834,              0.0679,            0.010911,              0.4692,             0.90306,             0.67137,             0.45993,            0.036475,            0.023489,            0.012658,           0.0094258,           0.0094258,           0.0094258
                  60,            0.040421,            0.057919,            0.010705,              0.4416,             0.87925,              0.6363,             0.40285,            0.039249,            0.024453,            0.012374,           0.0094159,           0.0094159,           0.0094159
                  61,            0.040993,            0.058148,            0.010556,             0.44398,             0.87925,             0.63984,             0.42819,            0.038753,            0.023174,            0.012675,            0.009406,            0.009406,            0.009406
                  62,            0.043512,            0.060122,            0.010998,             0.44293,             0.90306,             0.65988,             0.45186,            0.036722,             0.02271,            0.012878,           0.0093961,           0.0093961,           0.0093961
                  63,            0.043875,            0.061539,            0.010235,             0.44929,             0.87925,              0.6543,             0.43239,            0.037106,            0.022812,            0.012764,           0.0093862,           0.0093862,           0.0093862
                  64,            0.040779,            0.060921,            0.012351,             0.48146,             0.87415,             0.68655,             0.50484,            0.035097,            0.022411,            0.012773,           0.0093763,           0.0093763,           0.0093763
                  65,            0.037504,            0.055542,           0.0088266,             0.45365,             0.90758,             0.67799,             0.42702,            0.041428,            0.024237,            0.012948,           0.0093664,           0.0093664,           0.0093664
                  66,            0.040256,            0.056963,            0.011176,             0.44781,             0.80272,             0.71394,             0.52339,            0.037923,            0.022717,             0.01292,           0.0093565,           0.0093565,           0.0093565
                  67,            0.040305,            0.055761,              0.0132,             0.42671,             0.87415,             0.65821,             0.43251,            0.040096,            0.023421,            0.013086,           0.0093466,           0.0093466,           0.0093466
                  68,            0.042835,            0.055565,           0.0093879,             0.39755,             0.80272,             0.58117,             0.38462,            0.037828,            0.024836,            0.012918,           0.0093367,           0.0093367,           0.0093367
                  69,            0.041847,            0.063028,            0.010113,             0.40984,             0.89796,             0.58616,             0.40618,            0.035296,            0.022643,            0.012915,           0.0093268,           0.0093268,           0.0093268
